Team 1,Team 2,Winner,Margin,Ground,Date,Year,Match_id
RCB,KKR,KKR,140 runs,Bengaluru,Apr-18,2008,335982
Kings XI,Super Kings,Super Kings,33 runs,Mohali,Apr-19,2008,335983
Daredevils,Royals,Daredevils,9 wickets,Delhi,Apr-19,2008,335984
KKR,Chargers,KKR,5 wickets,Eden Gardens,Apr-20,2008,335986
Mumbai,RCB,RCB,5 wickets,Wankhede,Apr-20,2008,335985
Royals,Kings XI,Royals,6 wickets,Jaipur,Apr-21,2008,335987
Chargers,Daredevils,Daredevils,9 wickets,Hyderabad,Apr-22,2008,335988
Super Kings,Mumbai,Super Kings,6 runs,Chennai,Apr-23,2008,335989
Chargers,Royals,Royals,3 wickets,Hyderabad,Apr-24,2008,335990
Kings XI,Mumbai,Kings XI,66 runs,Mohali,Apr-25,2008,335991
Super Kings,KKR,Super Kings,9 wickets,Chennai,Apr-26,2008,335993
RCB,Royals,Royals,7 wickets,Bengaluru,Apr-26,2008,335992
Kings XI,Daredevils,Kings XI,4 wickets,Mohali,Apr-27,2008,335995
Mumbai,Chargers,Chargers,10 wickets,DY Patil,Apr-27,2008,335994
RCB,Super Kings,Super Kings,13 runs,Bengaluru,Apr-28,2008,335996
KKR,Mumbai,Mumbai,7 wickets,Eden Gardens,Apr-29,2008,335997
Daredevils,RCB,Daredevils,10 runs,Delhi,Apr-30,2008,335998
Royals,KKR,Royals,45 runs,Jaipur,May-01,2008,336000
Chargers,Kings XI,Kings XI,7 wickets,Hyderabad,May-01,2008,335999
Super Kings,Daredevils,Daredevils,8 wickets,Chennai,May-02,2008,336001
RCB,Chargers,RCB,3 runs,Bengaluru,May-03,2008,336034
Kings XI,KKR,Kings XI,9 runs,Mohali,May-03,2008,336003
Mumbai,Daredevils,Mumbai,29 runs,DY Patil,May-04,2008,336004
Royals,Super Kings,Royals,8 wickets,Jaipur,May-04,2008,336005
RCB,Kings XI,Kings XI,6 wickets,Bengaluru,May-05,2008,336006
Super Kings,Chargers,Chargers,7 wickets,Chennai,May-06,2008,336007
Mumbai,Royals,Mumbai,7 wickets,DY Patil,May-07,2008,336008
Daredevils,Super Kings,Super Kings,4 wickets,Delhi,May-08,2008,336009
KKR,RCB,KKR,5 runs,Eden Gardens,May-08,2008,336010
Royals,Chargers,Royals,8 wickets,Jaipur,May-09,2008,336011
Super Kings,Kings XI,Super Kings,18 runs,Chennai,May-10,2008,336013
Chargers,KKR,KKR,23 runs,Hyderabad,May-11,2008,336014
Royals,Daredevils,Royals,3 wickets,Jaipur,May-11,2008,336015
Kings XI,RCB,Kings XI,9 wickets,Mohali,May-12,2008,336016
KKR,Daredevils,KKR,23 runs,Eden Gardens,May-13,2008,336017
Mumbai,Super Kings,Mumbai,9 wickets,Wankhede,May-14,2008,336018
Daredevils,Chargers,Daredevils,12 runs,Delhi,May-15,2008,336020
Mumbai,KKR,Mumbai,8 wickets,Wankhede,May-16,2008,336021
Royals,RCB,Royals,65 runs,Jaipur,May-17,2008,336023
Daredevils,Kings XI,Kings XI,6 runs,Delhi,May-17,2008,336022
KKR,Super Kings,Super Kings,3 runs,Eden Gardens,May-18,2008,336025
Chargers,Mumbai,Mumbai,25 runs,Hyderabad,May-18,2008,336024
RCB,Daredevils,Daredevils,5 wickets,Bengaluru,May-19,2008,336026
KKR,Royals,Royals,6 wickets,Eden Gardens,May-20,2008,336027
Mumbai,Kings XI,Kings XI,1 run,Wankhede,May-21,2008,336028
Super Kings,RCB,RCB,14 runs,Chennai,May-21,2008,336029
Kings XI,Chargers,Kings XI,6 wickets,Mohali,May-23,2008,336031
Super Kings,Royals,Royals,10 runs,Chennai,May-24,2008,336033
Daredevils,Mumbai,Daredevils,5 wickets,Delhi,May-24,2008,336032
Chargers,RCB,RCB,5 wickets,Hyderabad,May-25,2008,336002
KKR,Kings XI,KKR,3 wickets,Eden Gardens,May-25,2008,336035
Royals,Mumbai,Royals,5 wickets,Jaipur,May-26,2008,336036
Chargers,Super Kings,Super Kings,7 wickets,Hyderabad,May-27,2008,336037
RCB,Mumbai,Mumbai,9 wickets,Bengaluru,May-28,2008,336012
Kings XI,Royals,Kings XI,41 runs,Mohali,May-28,2008,336019
Daredevils,Royals,Royals,105 runs,Wankhede,May-30,2008,336038
Super Kings,Kings XI,Super Kings,9 wickets,Wankhede,May-31,2008,336039
Super Kings,Royals,Royals,3 wickets,DY Patil,Jun-01,2008,336040
Super Kings,Mumbai,Mumbai,19 runs,Cape Town,Apr-18,2009,392181
RCB,Royals,RCB,75 runs,Cape Town,Apr-18,2009,392182
Daredevils,Kings XI,Daredevils,10 wickets,Cape Town,Apr-19,2009,392183
Chargers,KKR,Chargers,8 wickets,Cape Town,Apr-19,2009,392184
RCB,Super Kings,Super Kings,92 runs,Gqeberha,Apr-20,2009,392185
Kings XI,KKR,KKR,11 runs,Durban,Apr-21,2009,392186
RCB,Chargers,Chargers,24 runs,Cape Town,Apr-22,2009,392188
Super Kings,Daredevils,Daredevils,9 runs,Durban,Apr-23,2009,392189
KKR,Royals,tied,-,Cape Town,Apr-23,2009,392190
RCB,Kings XI,Kings XI,7 wickets,Durban,Apr-24,2009,392191
Chargers,Mumbai,Chargers,12 runs,Durban,Apr-25,2009,392192
RCB,Daredevils,Daredevils,6 wickets,Gqeberha,Apr-26,2009,392194
Kings XI,Royals,Kings XI,27 runs,Cape Town,Apr-26,2009,392195
Super Kings,Chargers,Chargers,6 wickets,Durban,Apr-27,2009,392196
KKR,Mumbai,Mumbai,92 runs,Gqeberha,Apr-27,2009,392197
Daredevils,Royals,Royals,5 wickets,Centurion,Apr-28,2009,392198
RCB,KKR,RCB,5 wickets,Durban,Apr-29,2009,392199
Kings XI,Mumbai,Kings XI,3 runs,Durban,Apr-29,2009,392200
Chargers,Daredevils,Daredevils,6 wickets,Centurion,Apr-30,2009,392201
Super Kings,Royals,Super Kings,38 runs,Centurion,Apr-30,2009,392202
KKR,Mumbai,Mumbai,9 runs,East London,May-01,2009,392203
RCB,Kings XI,RCB,8 runs,Durban,May-01,2009,392204
Chargers,Royals,Royals,3 wickets,Gqeberha,May-02,2009,392205
Super Kings,Daredevils,Super Kings,18 runs,Johannesburg,May-02,2009,392206
Kings XI,KKR,Kings XI,6 wickets,Gqeberha,May-03,2009,392207
RCB,Mumbai,RCB,9 wickets,Johannesburg,May-03,2009,392208
Super Kings,Chargers,Super Kings,78 runs,East London,May-04,2009,392209
Kings XI,Royals,Royals,78 runs,Durban,May-05,2009,392210
Daredevils,KKR,Daredevils,9 wickets,Durban,May-05,2009,392211
Chargers,Mumbai,Chargers,19 runs,Centurion,May-06,2009,392212
